# 房间表：buildingName|roomNo|floor|capacity|床位号=学号;床位号=学号
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
01A栋|101|1|4|1=24011109;2=24011110;3=24011111;4=24011112
14B栋|410|4|4|1=25141301;2=25141302;3=25141303;4=25141304
14B栋|411|4|4|1=25141305;2=25141306;3=25141307;4=25141308
14B栋|412|4|4|1=25141309;2=25141310;3=25141311;4=25141312
14B栋|413|4|4|1=25141313;2=25141314;3=25141315;4=25141316
14B栋|414|4|4|1=25141317;2=25141318;3=25141319;4=25141320
14B栋|415|4|4|1=25141321;2=25141322;3=25141323;4=25141324
14B栋|416|4|4|1=25141325;2=25141326;3=25141327;4=25141328
14B栋|417|4|4|1=25141329;2=25141330;3=25141331;4=25141332
14B栋|418|4|4|1=25141401;2=25141402;3=25141403;4=25141404
14B栋|419|4|4|1=25141405;2=25141406;3=25141407;4=25141408
14B栋|420|4|4|1=25141409;2=25141410;3=25141411;4=25141412
14B栋|421|4|4|1=25141413;2=25141414;3=25141415;4=25141416
14B栋|422|4|4|1=25141417;2=25141418;3=25141419;4=25141420
14B栋|423|4|4|1=25141421;2=25141422;3=25141423;4=25141424
14B栋|424|4|4|1=25141425;2=25141426;3=25141427;4=25141428
14B栋|425|4|4|1=25141429;2=25141430;3=25141431;4=25141432
14B栋|426|4|4|1=25142101;2=25142102;3=25142103;4=25142104
14B栋|427|4|4|1=25142105;2=25142106;3=25142107;4=25142108
14B栋|428|4|4|1=25142109;2=25142110;3=25142111;4=25142112
14B栋|429|4|4|1=25142113;2=25142114;3=25142115;4=25142116
14B栋|430|4|4|1=25142117;2=25142118;3=25142119;4=25142120
14B栋|431|4|4|1=25142121;2=25142122;3=25142123;4=25142124
14B栋|432|4|4|1=25142125;2=25142126;3=25142127;4=25142128
14B栋|433|4|4|1=25142129;2=25142130;3=25142131;4=25142132
14B栋|434|4|4|1=25142201;2=25142202;3=25142203;4=25142204
14B栋|435|4|4|1=25142205;2=25142206;3=25142207;4=25142208
14B栋|436|4|4|1=25142209;2=25142210;3=25142211;4=25142212
14B栋|437|4|4|1=25142213;2=25142214;3=25142215;4=25142216
14B栋|438|4|4|1=25142217;2=25142218;3=25142219;4=25142220
14B栋|439|4|4|1=25142221;2=25142222;3=25142223;4=25142224
14B栋|440|4|4|1=25142225;2=25142226;3=25142227;4=25142228
14B栋|441|4|4|1=25142229;2=25142230;3=25142231;4=25142232
14B栋|442|4|4|1=25142301;2=25142302;3=25142303;4=25142304
14B栋|443|4|4|1=25142305;2=25142306;3=25142307;4=25142308
14B栋|444|4|4|1=25142309;2=25142310;3=25142311;4=25142312
14B栋|445|4|4|1=25142313;2=25142314;3=25142315;4=25142316
14B栋|501|5|4|1=25142317;2=25142318;3=25142319;4=25142320
14B栋|502|5|4|1=25142321;2=25142322;3=25142323;4=25142324
14B栋|503|5|4|1=25142325;2=25142326;3=25142327;4=25142328
14B栋|504|5|4|1=25142329;2=25142330;3=25142331;4=25142332
14B栋|505|5|4|1=25142401;2=25142402;3=25142403;4=25142404
14B栋|506|5|4|1=25142405;2=25142406;3=25142407;4=25142408
14B栋|507|5|4|1=25142409;2=25142410;3=25142411;4=25142412
14B栋|508|5|4|1=25142413;2=25142414;3=25142415;4=25142416
14B栋|509|5|4|1=25142417;2=25142418;3=25142419;4=25142420
14B栋|510|5|4|1=25142421;2=25142422;3=25142423;4=25142424
14B栋|511|5|4|1=25142425;2=25142426;3=25142427;4=25142428
14B栋|512|5|4|1=25142429;2=25142430;3=25142431;4=25142432
14B栋|513|5|4|1=25143101;2=25143102;3=25143103;4=25143104
14B栋|514|5|4|1=25143105;2=25143106;3=25143107;4=25143108
14B栋|515|5|4|1=25143109;2=25143110;3=25143111;4=25143112
14B栋|516|5|4|1=25143113;2=25143114;3=25143115;4=25143116
14B栋|517|5|4|1=25143117;2=25143118;3=25143119;4=25143120
14B栋|518|5|4|1=25143121;2=25143122;3=25143123;4=25143124
14B栋|519|5|4|1=25143125;2=25143126;3=25143127;4=25143128
14B栋|520|5|4|1=25143129;2=25143130;3=25143131;4=25143132
14B栋|521|5|4|1=25143201;2=25143202;3=25143203;4=25143204
14B栋|522|5|4|1=25143205;2=25143206;3=25143207;4=25143208
14B栋|523|5|4|1=25143209;2=25143210;3=25143211;4=25143212
14B栋|524|5|4|1=25143213;2=25143214;3=25143215;4=25143216
14B栋|525|5|4|1=25143217;2=25143218;3=25143219;4=25143220
14B栋|526|5|4|1=25143221;2=25143222;3=25143223;4=25143224
14B栋|527|5|4|1=25143225;2=25143226;3=25143227;4=25143228
14B栋|528|5|4|1=25143229;2=25143230;3=25143231;4=25143232
14B栋|529|5|4|1=25143301;2=25143302;3=25143303;4=25143304
14B栋|530|5|4|1=25143305;2=25143306;3=25143307;4=25143308
14B栋|531|5|4|1=25143309;2=25143310;3=25143311;4=25143312
14B栋|532|5|4|1=25143313;2=25143314;3=25143315;4=25143316
14B栋|533|5|4|1=25143317;2=25143318;3=25143319;4=25143320
14B栋|534|5|4|1=25143321;2=25143322;3=25143323;4=25143324
14B栋|535|5|4|1=25143325;2=25143326;3=25143327;4=25143328
14B栋|536|5|4|1=25143329;2=25143330;3=25143331;4=25143332
14B栋|537|5|4|1=25143401;2=25143402;3=25143403;4=25143404
14B栋|538|5|4|1=25143405;2=25143406;3=25143407;4=25143408
14B栋|539|5|4|1=25143409;2=25143410;3=25143411;4=25143412
14B栋|540|5|4|1=25143413;2=25143414;3=25143415;4=25143416
14B栋|541|5|4|1=25143417;2=25143418;3=25143419;4=25143420
14B栋|542|5|4|1=25143421;2=25143422;3=25143423;4=25143424
14B栋|543|5|4|1=25143425;2=25143426;3=25143427;4=25143428
14B栋|544|5|4|1=25143429;2=25143430;3=25143431;4=25143432
14B栋|545|5|4|1=25144101;2=25144102;3=25144103;4=25144104
14B栋|601|6|4|1=25144105;2=25144106;3=25144107;4=25144108
14B栋|602|6|4|1=25144109;2=25144110;3=25144111;4=25144112
14B栋|603|6|4|1=25144113;2=25144114;3=25144115;4=25144116
14B栋|604|6|4|1=25144117;2=25144118;3=25144119;4=25144120
14B栋|605|6|4|1=25144121;2=25144122;3=25144123;4=25144124
14B栋|606|6|4|1=25144125;2=25144126;3=25144127;4=25144128
14B栋|607|6|4|1=25144129;2=25144130;3=25144131;4=25144132
14B栋|608|6|4|1=25144201;2=25144202;3=25144203;4=25144204
14B栋|609|6|4|1=25144205;2=25144206;3=25144207;4=25144208
14B栋|610|6|4|1=25144209;2=25144210;3=25144211;4=25144212
14B栋|611|6|4|1=25144213;2=25144214;3=25144215;4=25144216
14B栋|612|6|4|1=25144217;2=25144218;3=25144219;4=25144220
14B栋|613|6|4|1=25144221;2=25144222;3=25144223;4=25144224
14B栋|614|6|4|1=25144225;2=25144226;3=25144227;4=25144228
14B栋|615|6|4|1=25144229;2=25144230;3=25144231;4=25144232
14B栋|616|6|4|1=25144301;2=25144302;3=25144303;4=25144304
14B栋|617|6|4|1=25144305;2=25144306;3=25144307;4=25144308
14B栋|618|6|4|1=25144309;2=25144310;3=25144311;4=25144312
14B栋|619|6|4|1=25144313;2=25144314;3=25144315;4=25144316
14B栋|620|6|4|1=25144317;2=25144318;3=25144319;4=25144320
14B栋|621|6|4|1=25144321;2=25144322;3=25144323;4=25144324
14B栋|622|6|4|1=25144325;2=25144326;3=25144327;4=25144328
14B栋|623|6|4|1=25144329;2=25144330;3=25144331;4=25144332
14B栋|624|6|4|1=25144401;2=25144402;3=25144403;4=25144404
14B栋|625|6|4|1=25144405;2=25144406;3=25144407;4=25144408
14B栋|626|6|4|1=25144409;2=25144410;3=25144411;4=25144412
14B栋|627|6|4|1=25144413;2=25144414;3=25144415;4=25144416
14B栋|628|6|4|1=25144417;2=25144418;3=25144419;4=25144420
14B栋|629|6|4|1=25144421;2=25144422;3=25144423;4=25144424
14B栋|630|6|4|1=25144425;2=25144426;3=25144427;4=25144428
14B栋|631|6|4|1=25144429;2=25144430;3=25144431;4=25144432
14B栋|632|6|4|1=;2=;3=;4=
14B栋|633|6|4|1=;2=;3=;4=
14B栋|634|6|4|1=;2=;3=;4=
14B栋|635|6|4|1=;2=;3=;4=
14B栋|636|6|4|1=;2=;3=;4=
14B栋|637|6|4|1=;2=;3=;4=
14B栋|638|6|4|1=;2=;3=;4=
14B栋|639|6|4|1=;2=;3=;4=
14B栋|640|6|4|1=;2=;3=;4=
14B栋|641|6|4|1=;2=;3=;4=
14B栋|642|6|4|1=;2=;3=;4=
14B栋|643|6|4|1=;2=;3=;4=
14B栋|644|6|4|1=;2=;3=;4=
14B栋|645|6|4|1=;2=;3=;4=
15A栋|101|1|4|1=24151133;2=24151134;3=24151135;4=24151136
15A栋|102|1|4|1=24151137;2=24151138;3=24151139;4=24151140
15A栋|103|1|4|1=24151233;2=24151234;3=24151235;4=24151236
15A栋|104|1|4|1=24151237;2=24151238;3=24151239;4=24151240
15A栋|105|1|4|1=24151333;2=24151334;3=24151335;4=24151336
15A栋|106|1|4|1=24151337;2=24151338;3=24151339;4=24151340
15A栋|107|1|4|1=24151433;2=24151434;3=24151435;4=24151436
15A栋|108|1|4|1=24151437;2=24151438;3=24151439;4=24151440
15A栋|109|1|4|1=24152133;2=24152134;3=24152135;4=24152136
15A栋|110|1|4|1=24152137;2=24152138;3=24152139;4=24152140
15A栋|111|1|4|1=24152233;2=24152234;3=24152235;4=24152236
15A栋|112|1|4|1=24152237;2=24152238;3=24152239;4=24152240
15A栋|113|1|4|1=24152333;2=24152334;3=24152335;4=24152336
15A栋|114|1|4|1=24152337;2=24152338;3=24152339;4=24152340
15A栋|115|1|4|1=24152433;2=24152434;3=24152435;4=24152436
15A栋|116|1|4|1=24152437;2=24152438;3=24152439;4=24152440
15A栋|117|1|4|1=24153133;2=24153134;3=24153135;4=24153136
15A栋|118|1|4|1=24153137;2=24153138;3=24153139;4=24153140
15A栋|119|1|4|1=24153233;2=24153234;3=24153235;4=24153236
15A栋|120|1|4|1=24153237;2=24153238;3=24153239;4=24153240
15A栋|121|1|4|1=24153333;2=24153334;3=24153335;4=24153336
15A栋|122|1|4|1=24153337;2=24153338;3=24153339;4=24153340
15A栋|123|1|4|1=24153433;2=24153434;3=24153435;4=24153436
15A栋|124|1|4|1=24153437;2=24153438;3=24153439;4=24153440
15A栋|125|1|4|1=24154133;2=24154134;3=24154135;4=24154136
15A栋|126|1|4|1=24154137;2=24154138;3=24154139;4=24154140
15A栋|127|1|4|1=24154233;2=24154234;3=24154235;4=24154236
15A栋|128|1|4|1=24154237;2=24154238;3=24154239;4=24154240
15A栋|129|1|4|1=24154333;2=24154334;3=24154335;4=24154336
15A栋|130|1|4|1=24154337;2=24154338;3=24154339;4=24154340
15A栋|131|1|4|1=24154433;2=24154434;3=24154435;4=24154436
15A栋|132|1|4|1=24154437;2=24154438;3=24154439;4=24154440
15A栋|133|1|4|1=25151133;2=25151134;3=25151135;4=25151136
15A栋|134|1|4|1=25151137;2=25151138;3=25151139;4=25151140
15A栋|135|1|4|1=25151233;2=25151234;3=25151235;4=25151236
15A栋|136|1|4|1=25151237;2=25151238;3=25151239;4=25151240
15A栋|137|1|4|1=25151333;2=25151334;3=25151335;4=25151336
15A栋|138|1|4|1=25151337;2=25151338;3=25151339;4=25151340
15A栋|139|1|4|1=25151433;2=25151434;3=25151435;4=25151436
15A栋|140|1|4|1=25151437;2=25151438;3=25151439;4=25151440
15A栋|141|1|4|1=25152133;2=25152134;3=25152135;4=25152136
15A栋|142|1|4|1=25152137;2=25152138;3=25152139;4=25152140
15A栋|143|1|4|1=25152233;2=25152234;3=25152235;4=25152236
15A栋|144|1|4|1=25152237;2=25152238;3=25152239;4=25152240
15A栋|145|1|4|1=25152333;2=25152334;3=25152335;4=25152336
15A栋|201|2|4|1=25152337;2=25152338;3=25152339;4=25152340
15A栋|202|2|4|1=25152433;2=25152434;3=25152435;4=25152436
15A栋|203|2|4|1=25152437;2=25152438;3=25152439;4=25152440
15A栋|204|2|4|1=25153133;2=25153134;3=25153135;4=25153136
15A栋|205|2|4|1=25153137;2=25153138;3=25153139;4=25153140
15A栋|206|2|4|1=25153233;2=25153234;3=25153235;4=25153236
15A栋|207|2|4|1=25153237;2=25153238;3=25153239;4=25153240
15A栋|208|2|4|1=25153333;2=25153334;3=25153335;4=25153336
15A栋|209|2|4|1=25153337;2=25153338;3=25153339;4=25153340
15A栋|210|2|4|1=25153433;2=25153434;3=25153435;4=25153436
15A栋|211|2|4|1=25153437;2=25153438;3=25153439;4=25153440
15A栋|212|2|4|1=25154133;2=25154134;3=25154135;4=25154136
15A栋|213|2|4|1=25154137;2=25154138;3=25154139;4=25154140
15A栋|214|2|4|1=25154233;2=25154234;3=25154235;4=25154236
15A栋|215|2|4|1=25154237;2=25154238;3=25154239;4=25154240
15A栋|216|2|4|1=25154333;2=25154334;3=25154335;4=25154336
15A栋|217|2|4|1=25154337;2=25154338;3=25154339;4=25154340
15A栋|218|2|4|1=25154433;2=25154434;3=25154435;4=25154436
15A栋|219|2|4|1=25154437;2=25154438;3=25154439;4=25154440
15A栋|220|2|4|1=;2=;3=;4=
15A栋|221|2|4|1=;2=;3=;4=
15A栋|222|2|4|1=;2=;3=;4=
15A栋|223|2|4|1=;2=;3=;4=
15A栋|224|2|4|1=;2=;3=;4=
15A栋|225|2|4|1=;2=;3=;4=
15A栋|226|2|4|1=;2=;3=;4=
15A栋|227|2|4|1=;2=;3=;4=
15A栋|228|2|4|1=;2=;3=;4=
15A栋|229|2|4|1=;2=;3=;4=
15A栋|230|2|4|1=;2=;3=;4=
15A栋|231|2|4|1=;2=;3=;4=
15A栋|232|2|4|1=;2=;3=;4=
15A栋|233|2|4|1=;2=;3=;4=
15A栋|234|2|4|1=;2=;3=;4=
15A栋|235|2|4|1=;2=;3=;4=
15A栋|236|2|4|1=;2=;3=;4=
15A栋|237|2|4|1=;2=;3=;4=
15A栋|238|2|4|1=;2=;3=;4=
15A栋|239|2|4|1=;2=;3=;4=
15A栋|240|2|4|1=;2=;3=;4=
15A栋|241|2|4|1=;2=;3=;4=
15A栋|242|2|4|1=;2=;3=;4=
15A栋|243|2|4|1=;2=;3=;4=
15A栋|244|2|4|1=;2=;3=;4=
15A栋|245|2|4|1=;2=;3=;4=
15B栋|101|1|4|1=24151101;2=24151102;3=24151103;4=24151104
15B栋|102|1|4|1=24151105;2=24151106;3=24151107;4=24151108
15B栋|103|1|4|1=24151109;2=24151110;3=24151111;4=24151112
15B栋|104|1|4|1=24151113;2=24151114;3=24151115;4=24151116
15B栋|105|1|4|1=24151117;2=24151118;3=24151119;4=24151120
15B栋|106|1|4|1=24151121;2=24151122;3=24151123;4=24151124
15B栋|107|1|4|1=24151125;2=24151126;3=24151127;4=24151128
15B栋|108|1|4|1=24151129;2=24151130;3=24151131;4=24151132
15B栋|109|1|4|1=24151201;2=24151202;3=24151203;4=24151204
15B栋|110|1|4|1=24151205;2=24151206;3=24151207;4=24151208
15B栋|111|1|4|1=24151209;2=24151210;3=24151211;4=24151212
15B栋|112|1|4|1=24151213;2=24151214;3=24151215;4=24151216
15B栋|113|1|4|1=24151217;2=24151218;3=24151219;4=24151220
15B栋|114|1|4|1=24151221;2=24151222;3=24151223;4=24151224
15B栋|115|1|4|1=24151225;2=24151226;3=24151227;4=24151228
15B栋|116|1|4|1=24151229;2=24151230;3=24151231;4=24151232
15B栋|117|1|4|1=24151301;2=24151302;3=24151303;4=24151304
15B栋|118|1|4|1=24151305;2=24151306;3=24151307;4=24151308
15B栋|119|1|4|1=24151309;2=24151310;3=24151311;4=24151312
15B栋|120|1|4|1=24151313;2=24151314;3=24151315;4=24151316
15B栋|121|1|4|1=24151317;2=24151318;3=24151319;4=24151320
15B栋|122|1|4|1=24151321;2=24151322;3=24151323;4=24151324
15B栋|123|1|4|1=24151325;2=24151326;3=24151327;4=24151328
15B栋|124|1|4|1=24151329;2=24151330;3=24151331;4=24151332
15B栋|125|1|4|1=24151401;2=24151402;3=24151403;4=24151404
15B栋|126|1|4|1=24151405;2=24151406;3=24151407;4=24151408
15B栋|127|1|4|1=24151409;2=24151410;3=24151411;4=24151412
15B栋|128|1|4|1=24151413;2=24151414;3=24151415;4=24151416
15B栋|129|1|4|1=24151417;2=24151418;3=24151419;4=24151420
15B栋|130|1|4|1=24151421;2=24151422;3=24151423;4=24151424
15B栋|131|1|4|1=24151425;2=24151426;3=24151427;4=24151428
15B栋|132|1|4|1=24151429;2=24151430;3=24151431;4=24151432
15B栋|133|1|4|1=24152101;2=24152102;3=24152103;4=24152104
15B栋|134|1|4|1=24152105;2=24152106;3=24152107;4=24152108
15B栋|135|1|4|1=24152109;2=24152110;3=24152111;4=24152112
15B栋|136|1|4|1=24152113;2=24152114;3=24152115;4=24152116
15B栋|137|1|4|1=24152117;2=24152118;3=24152119;4=24152120
15B栋|138|1|4|1=24152121;2=24152122;3=24152123;4=24152124
15B栋|139|1|4|1=24152125;2=24152126;3=24152127;4=24152128
15B栋|140|1|4|1=24152129;2=24152130;3=24152131;4=24152132
15B栋|141|1|4|1=24152201;2=24152202;3=24152203;4=24152204
15B栋|142|1|4|1=24152205;2=24152206;3=24152207;4=24152208
15B栋|143|1|4|1=24152209;2=24152210;3=24152211;4=24152212
15B栋|144|1|4|1=24152213;2=24152214;3=24152215;4=24152216
15B栋|145|1|4|1=24152217;2=24152218;3=24152219;4=24152220
15B栋|201|2|4|1=24152221;2=24152222;3=24152223;4=24152224
15B栋|202|2|4|1=24152225;2=24152226;3=24152227;4=24152228
15B栋|203|2|4|1=24152229;2=24152230;3=24152231;4=24152232
15B栋|204|2|4|1=24152301;2=24152302;3=24152303;4=24152304
15B栋|205|2|4|1=24152305;2=24152306;3=24152307;4=24152308
15B栋|206|2|4|1=24152309;2=24152310;3=24152311;4=24152312
15B栋|207|2|4|1=24152313;2=24152314;3=24152315;4=24152316
15B栋|208|2|4|1=24152317;2=24152318;3=24152319;4=24152320
15B栋|209|2|4|1=24152321;2=24152322;3=24152323;4=24152324
15B栋|210|2|4|1=24152325;2=24152326;3=24152327;4=24152328
15B栋|211|2|4|1=24152329;2=24152330;3=24152331;4=24152332
15B栋|212|2|4|1=24152401;2=24152402;3=24152403;4=24152404
15B栋|213|2|4|1=24152405;2=24152406;3=24152407;4=24152408
15B栋|214|2|4|1=24152409;2=24152410;3=24152411;4=24152412
15B栋|215|2|4|1=24152413;2=24152414;3=24152415;4=24152416
15B栋|216|2|4|1=24152417;2=24152418;3=24152419;4=24152420
15B栋|217|2|4|1=24152421;2=24152422;3=24152423;4=24152424
15B栋|218|2|4|1=24152425;2=24152426;3=24152427;4=24152428
15B栋|219|2|4|1=24152429;2=24152430;3=24152431;4=24152432
15B栋|220|2|4|1=24153101;2=24153102;3=24153103;4=24153104
15B栋|221|2|4|1=24153105;2=24153106;3=24153107;4=24153108
15B栋|222|2|4|1=24153109;2=24153110;3=24153111;4=24153112
15B栋|223|2|4|1=24153113;2=24153114;3=24153115;4=24153116
15B栋|224|2|4|1=24153117;2=24153118;3=24153119;4=24153120
15B栋|225|2|4|1=24153121;2=24153122;3=24153123;4=24153124
15B栋|226|2|4|1=24153125;2=24153126;3=24153127;4=24153128
15B栋|227|2|4|1=24153129;2=24153130;3=24153131;4=24153132
15B栋|228|2|4|1=24153201;2=24153202;3=24153203;4=24153204
15B栋|229|2|4|1=24153205;2=24153206;3=24153207;4=24153208
15B栋|230|2|4|1=24153209;2=24153210;3=24153211;4=24153212
15B栋|231|2|4|1=24153213;2=24153214;3=24153215;4=24153216
15B栋|232|2|4|1=24153217;2=24153218;3=24153219;4=24153220
15B栋|233|2|4|1=24153221;2=24153222;3=24153223;4=24153224
15B栋|234|2|4|1=24153225;2=24153226;3=24153227;4=24153228
15B栋|235|2|4|1=24153229;2=24153230;3=24153231;4=24153232
15B栋|236|2|4|1=24153301;2=24153302;3=24153303;4=24153304
15B栋|237|2|4|1=24153305;2=24153306;3=24153307;4=24153308
15B栋|238|2|4|1=24153309;2=24153310;3=24153311;4=24153312
15B栋|239|2|4|1=24153313;2=24153314;3=24153315;4=24153316
15B栋|240|2|4|1=24153317;2=24153318;3=24153319;4=24153320
15B栋|241|2|4|1=24153321;2=24153322;3=24153323;4=24153324
15B栋|242|2|4|1=24153325;2=24153326;3=24153327;4=24153328
15B栋|243|2|4|1=24153329;2=24153330;3=24153331;4=24153332
15B栋|244|2|4|1=24153401;2=24153402;3=24153403;4=24153404
15B栋|245|2|4|1=24153405;2=24153406;3=24153407;4=24153408
15B栋|301|3|4|1=24153409;2=24153410;3=24153411;4=24153412
15B栋|302|3|4|1=24153413;2=24153414;3=24153415;4=24153416
15B栋|303|3|4|1=24153417;2=24153418;3=24153419;4=24153420
15B栋|304|3|4|1=24153421;2=24153422;3=24153423;4=24153424
15B栋|305|3|4|1=24153425;2=24153426;3=24153427;4=24153428
15B栋|306|3|4|1=24153429;2=24153430;3=24153431;4=24153432
15B栋|307|3|4|1=24154101;2=24154102;3=24154103;4=24154104
15B栋|308|3|4|1=24154105;2=24154106;3=24154107;4=24154108
15B栋|309|3|4|1=24154109;2=24154110;3=24154111;4=24154112
15B栋|310|3|4|1=24154113;2=24154114;3=24154115;4=24154116
15B栋|311|3|4|1=24154117;2=24154118;3=24154119;4=24154120
15B栋|312|3|4|1=24154121;2=24154122;3=24154123;4=24154124
15B栋|313|3|4|1=24154125;2=24154126;3=24154127;4=24154128
15B栋|314|3|4|1=24154129;2=24154130;3=24154131;4=24154132
15B栋|315|3|4|1=24154201;2=24154202;3=24154203;4=24154204
15B栋|316|3|4|1=24154205;2=24154206;3=24154207;4=24154208
15B栋|317|3|4|1=24154209;2=24154210;3=24154211;4=24154212
15B栋|318|3|4|1=24154213;2=24154214;3=24154215;4=24154216
15B栋|319|3|4|1=24154217;2=24154218;3=24154219;4=24154220
15B栋|320|3|4|1=24154221;2=24154222;3=24154223;4=24154224
15B栋|321|3|4|1=24154225;2=24154226;3=24154227;4=24154228
15B栋|322|3|4|1=24154229;2=24154230;3=24154231;4=24154232
15B栋|323|3|4|1=24154301;2=24154302;3=24154303;4=24154304
15B栋|324|3|4|1=24154305;2=24154306;3=24154307;4=24154308
15B栋|325|3|4|1=24154309;2=24154310;3=24154311;4=24154312
15B栋|326|3|4|1=24154313;2=24154314;3=24154315;4=24154316
15B栋|327|3|4|1=24154317;2=24154318;3=24154319;4=24154320
15B栋|328|3|4|1=24154321;2=24154322;3=24154323;4=24154324
15B栋|329|3|4|1=24154325;2=24154326;3=24154327;4=24154328
15B栋|330|3|4|1=24154329;2=24154330;3=24154331;4=24154332
15B栋|331|3|4|1=24154401;2=24154402;3=24154403;4=24154404
15B栋|332|3|4|1=24154405;2=24154406;3=24154407;4=24154408
15B栋|333|3|4|1=24154409;2=24154410;3=24154411;4=24154412
15B栋|334|3|4|1=24154413;2=24154414;3=24154415;4=24154416
15B栋|335|3|4|1=24154417;2=24154418;3=24154419;4=24154420
15B栋|336|3|4|1=24154421;2=24154422;3=24154423;4=24154424
15B栋|337|3|4|1=24154425;2=24154426;3=24154427;4=24154428
15B栋|338|3|4|1=24154429;2=24154430;3=24154431;4=24154432
15B栋|339|3|4|1=25151101;2=25151102;3=25151103;4=25151104
15B栋|340|3|4|1=25151105;2=25151106;3=25151107;4=25151108
15B栋|341|3|4|1=25151109;2=25151110;3=25151111;4=25151112
15B栋|342|3|4|1=25151113;2=25151114;3=25151115;4=25151116
15B栋|343|3|4|1=25151117;2=25151118;3=25151119;4=25151120
15B栋|344|3|4|1=25151121;2=25151122;3=25151123;4=25151124
15B栋|345|3|4|1=25151125;2=25151126;3=25151127;4=25151128
15B栋|401|4|4|1=25151129;2=25151130;3=25151131;4=25151132
15B栋|402|4|4|1=25151201;2=25151202;3=25151203;4=25151204
15B栋|403|4|4|1=25151205;2=25151206;3=25151207;4=25151208
15B栋|404|4|4|1=25151209;2=25151210;3=25151211;4=25151212
15B栋|405|4|4|1=25151213;2=25151214;3=25151215;4=25151216
15B栋|406|4|4|1=25151217;2=25151218;3=25151219;4=25151220
15B栋|407|4|4|1=25151221;2=25151222;3=25151223;4=25151224
15B栋|408|4|4|1=25151225;2=25151226;3=25151227;4=25151228
15B栋|409|4|4|1=25151229;2=25151230;3=25151231;4=25151232
15B栋|410|4|4|1=25151301;2=25151302;3=25151303;4=25151304
15B栋|411|4|4|1=25151305;2=25151306;3=25151307;4=25151308
15B栋|412|4|4|1=25151309;2=25151310;3=25151311;4=25151312
15B栋|413|4|4|1=25151313;2=25151314;3=25151315;4=25151316
15B栋|414|4|4|1=25151317;2=25151318;3=25151319;4=25151320
15B栋|415|4|4|1=25151321;2=25151322;3=25151323;4=25151324
15B栋|416|4|4|1=25151325;2=25151326;3=25151327;4=25151328
15B栋|417|4|4|1=25151329;2=25151330;3=25151331;4=25151332
15B栋|418|4|4|1=25151401;2=25151402;3=25151403;4=25151404
15B栋|419|4|4|1=25151405;2=25151406;3=25151407;4=25151408
15B栋|420|4|4|1=25151409;2=25151410;3=25151411;4=25151412
15B栋|421|4|4|1=25151413;2=25151414;3=25151415;4=25151416
15B栋|422|4|4|1=25151417;2=25151418;3=25151419;4=25151420
15B栋|423|4|4|1=25151421;2=25151422;3=25151423;4=25151424
15B栋|424|4|4|1=25151425;2=25151426;3=25151427;4=25151428
15B栋|425|4|4|1=25151429;2=25151430;3=25151431;4=25151432
15B栋|426|4|4|1=25152101;2=25152102;3=25152103;4=25152104
15B栋|427|4|4|1=25152105;2=25152106;3=25152107;4=25152108
15B栋|428|4|4|1=25152109;2=25152110;3=25152111;4=25152112
15B栋|429|4|4|1=25152113;2=25152114;3=25152115;4=25152116
15B栋|430|4|4|1=25152117;2=25152118;3=25152119;4=25152120
15B栋|431|4|4|1=25152121;2=25152122;3=25152123;4=25152124
15B栋|432|4|4|1=25152125;2=25152126;3=25152127;4=25152128
15B栋|433|4|4|1=25152129;2=25152130;3=25152131;4=25152132
15B栋|434|4|4|1=25152201;2=25152202;3=25152203;4=25152204
15B栋|435|4|4|1=25152205;2=25152206;3=25152207;4=25152208
15B栋|436|4|4|1=25152209;2=25152210;3=25152211;4=25152212
15B栋|437|4|4|1=25152213;2=25152214;3=25152215;4=25152216
15B栋|438|4|4|1=25152217;2=25152218;3=25152219;4=25152220
15B栋|439|4|4|1=25152221;2=25152222;3=25152223;4=25152224
15B栋|440|4|4|1=25152225;2=25152226;3=25152227;4=25152228
15B栋|441|4|4|1=25152229;2=25152230;3=25152231;4=25152232
15B栋|442|4|4|1=25152301;2=25152302;3=25152303;4=25152304
15B栋|443|4|4|1=25152305;2=25152306;3=25152307;4=25152308
15B栋|444|4|4|1=25152309;2=25152310;3=25152311;4=25152312
15B栋|445|4|4|1=25152313;2=25152314;3=25152315;4=25152316
15B栋|501|5|4|1=25152317;2=25152318;3=25152319;4=25152320
15B栋|502|5|4|1=25152321;2=25152322;3=25152323;4=25152324
15B栋|503|5|4|1=25152325;2=25152326;3=25152327;4=25152328
15B栋|504|5|4|1=25152329;2=25152330;3=25152331;4=25152332
15B栋|505|5|4|1=25152401;2=25152402;3=25152403;4=25152404
15B栋|506|5|4|1=25152405;2=25152406;3=25152407;4=25152408
15B栋|507|5|4|1=25152409;2=25152410;3=25152411;4=25152412
15B栋|508|5|4|1=25152413;2=25152414;3=25152415;4=25152416
15B栋|509|5|4|1=25152417;2=25152418;3=25152419;4=25152420
15B栋|510|5|4|1=25152421;2=25152422;3=25152423;4=25152424
15B栋|511|5|4|1=25152425;2=25152426;3=25152427;4=25152428
15B栋|512|5|4|1=25152429;2=25152430;3=25152431;4=25152432
15B栋|513|5|4|1=25153101;2=25153102;3=25153103;4=25153104
15B栋|514|5|4|1=25153105;2=25153106;3=25153107;4=25153108
